work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2024,Senior Level,Full-Time,Engineer,136800,United States,On-site,United States,M
2024,Senior Level,Full-Time,Engineer,155625,United States,On-site,United States,M
2024,Executive Level,Full-Time,Solutions Engineer,248600,United States,On-site,United States,M
2024,Executive Level,Full-Time,Solutions Engineer,149200,United States,On-site,United States,M
2024,Mid Level,Full-Time,Engineering Manager,333000,United States,On-site,United States,M
2024,Mid Level,Full-Time,Engineering Manager,189000,United States,On-site,United States,M
2024,Mid Level,Full-Time,Product Manager,186800,United States,On-site,United States,M
2024,Mid Level,Full-Time,Product Manager,161616,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Engineer,184208,United States,Remote,United States,M
2024,Senior Level,Full-Time,Data Engineer,133969,United States,Remote,United States,M
2024,Entry Level,Full-Time,Business Intelligence Developer,172000,United States,On-site,United States,M
2024,Entry Level,Full-Time,Business Intelligence Developer,75600,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Architect,148025,United Kingdom,On-site,United Kingdom,M
2024,Senior Level,Full-Time,Data Architect,125821,United Kingdom,On-site,United Kingdom,M
2024,Mid Level,Full-Time,Software Engineer,132000,United States,Remote,United States,M
2024,Mid Level,Full-Time,Software Engineer,84000,United States,Remote,United States,M
2024,Mid Level,Full-Time,Software Development Engineer,210300,United States,Remote,United States,M
2024,Mid Level,Full-Time,Software Development Engineer,131700,United States,Remote,United States,M
2024,Mid Level,Full-Time,BI Analyst,185000,United States,On-site,United States,M
2024,Mid Level,Full-Time,BI Analyst,151736,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Analyst,136856,United States,On-site,United States,M
2024,Entry Level,Full-Time,Data Operations Analyst,133800,United States,On-site,United States,M
2024,Entry Level,Full-Time,Data Operations Analyst,108098,United States,On-site,United States,M
2024,Mid Level,Full-Time,Consultant,112200,United States,On-site,United States,M
2024,Mid Level,Full-Time,Consultant,70300,United States,On-site,United States,M
2024,Mid Level,Full-Time,Business Analyst,96400,United States,On-site,United States,M
2024,Mid Level,Full-Time,Business Analyst,64200,United States,On-site,United States,M
2024,Mid Level,Full-Time,Product Manager,124500,United States,On-site,United States,M
2024,Senior Level,Full-Time,Applied Scientist,170000,United States,Remote,United States,M
2024,Mid Level,Full-Time,Machine Learning Engineer,405000,United States,On-site,United States,M
2024,Senior Level,Full-Time,Systems Engineer,425000,United States,On-site,United States,M
2024,Senior Level,Full-Time,Systems Engineer,315000,United States,On-site,United States,M
2024,Senior Level,Full-Time,Software Engineer,510000,United States,On-site,United States,M
2024,Senior Level,Full-Time,AI Specialist,179700,United States,On-site,United States,M
2024,Senior Level,Full-Time,AI Specialist,103050,United States,On-site,United States,M
2024,Senior Level,Full-Time,ML Infrastructure Engineer,643750,United Kingdom,On-site,United Kingdom,M
2024,Senior Level,Full-Time,ML Infrastructure Engineer,287500,United Kingdom,On-site,United Kingdom,M
2024,Senior Level,Full-Time,Research Scientist,510000,United States,On-site,United States,M
2024,Senior Level,Full-Time,Research Scientist,425000,United Kingdom,On-site,United Kingdom,M
2024,Senior Level,Full-Time,Research Scientist,281250,United Kingdom,On-site,United Kingdom,M
2024,Mid Level,Full-Time,Data Modeler,135000,United States,On-site,United States,M
2024,Mid Level,Full-Time,Data Modeler,125000,United States,On-site,United States,M
2024,Mid Level,Full-Time,Research Engineer,485000,United Kingdom,On-site,United Kingdom,M
2024,Mid Level,Full-Time,Research Engineer,280000,United Kingdom,On-site,United Kingdom,M
2024,Senior Level,Full-Time,Engineer,625000,United States,On-site,United States,M
2024,Senior Level,Full-Time,Engineer,315000,United States,On-site,United States,M
2024,Senior Level,Full-Time,Software Engineer,618750,United Kingdom,On-site,United Kingdom,M
2024,Senior Level,Full-Time,Software Engineer,306250,United Kingdom,On-site,United Kingdom,M
2024,Senior Level,Full-Time,Software Engineer,600000,United States,On-site,United States,M
2024,Mid Level,Full-Time,Software Engineer,405000,United States,On-site,United States,M
2024,Mid Level,Full-Time,Software Engineer,300000,United States,On-site,United States,M
2024,Senior Level,Full-Time,Solutions Architect,405000,United States,On-site,United States,M
2024,Senior Level,Full-Time,Solutions Architect,300000,United States,On-site,United States,M
2024,Senior Level,Full-Time,Research Engineer,643750,United Kingdom,On-site,United Kingdom,M
2024,Senior Level,Full-Time,Research Engineer,287500,United Kingdom,On-site,United Kingdom,M
2024,Senior Level,Full-Time,Research Engineer,485000,United Kingdom,On-site,United Kingdom,M
2024,Senior Level,Full-Time,Research Engineer,280000,United Kingdom,On-site,United Kingdom,M
2024,Senior Level,Full-Time,Research Engineer,425000,United States,On-site,United States,M
2024,Mid Level,Full-Time,Manager,337500,United Kingdom,On-site,United Kingdom,M
2024,Mid Level,Full-Time,Software Engineer,462500,United Kingdom,On-site,United Kingdom,M
2024,Mid Level,Full-Time,Software Engineer,331250,United Kingdom,On-site,United Kingdom,M
2024,Mid Level,Full-Time,Research Scientist,643750,United Kingdom,On-site,United Kingdom,M
2024,Mid Level,Full-Time,Research Scientist,287500,United Kingdom,On-site,United Kingdom,M
2024,Senior Level,Full-Time,Research Scientist,643750,United Kingdom,On-site,United Kingdom,M
2024,Senior Level,Full-Time,Research Scientist,287500,United Kingdom,On-site,United Kingdom,M
2024,Senior Level,Full-Time,Research Scientist,625000,United States,On-site,United States,M
2024,Mid Level,Full-Time,Engineering Manager,625000,United States,On-site,United States,M
2024,Mid Level,Full-Time,Engineering Manager,315000,United States,On-site,United States,M
2024,Senior Level,Full-Time,Security Engineer,405000,United States,On-site,United States,M
2024,Senior Level,Full-Time,Security Engineer,320000,United States,On-site,United States,M
2024,Senior Level,Full-Time,Research Engineer,510000,United States,On-site,United States,M
2024,Senior Level,Full-Time,Product Manager,375000,United States,On-site,United States,M
2024,Senior Level,Full-Time,Product Manager,300000,United States,On-site,United States,M
2024,Mid Level,Full-Time,Manager,315000,United States,On-site,United States,M
2024,Senior Level,Full-Time,Business Intelligence Analyst,187158,United States,On-site,United States,M
2024,Senior Level,Full-Time,Business Intelligence Analyst,116974,United States,On-site,United States,M
2024,Senior Level,Full-Time,Platform Engineer,297000,United States,On-site,United States,M
2024,Senior Level,Full-Time,Platform Engineer,168300,United States,On-site,United States,M
